layer,current,proposed,cp,hardware,comment,notes
block,OS West Main Ext,Track West Main Ext,East End,Block 1-8,East End,historical alias
block,West Main Ext,Track West Main Ext,East End,Block 1-8,East End,historical alias; keep
occupancy,BS Barn,BS Barn,Barn,M2S1300,Node: 13 Block: 1,
occupancy,BS Brick-Plane,BS Brick-Plane,Brick,M2S405,Node: 4 Block: 6,
occupancy,BS EH-1,BS EH-1,,M2S1306,Node: 13 Block: 7,
occupancy,BS EH-2,BS EH-2,,M2S1305,Node: 13 Block: 6,
occupancy,BS EH-3,BS EH-3,,M2S1304,Node: 13 Block: 5,
occupancy,BS East Lead,BS East Lead,East End,M2S106,Node: 1 Block: 7,
occupancy,BS East Main Ext,BS East Main Ext,Plane,M2S406,Node: 4 Block: 7,
occupancy,BS Main East,BS Main East,,M2S202,Node: 2 Block: 3,
occupancy,BS Main West,BS Main West,,M2S200,Node: 2 Block: 1,
occupancy,BS McKees Rocks,BS McKees Rocks,Princess,M2S100,Node: 1 Block: 1,
occupancy,BS McKeesport,BS McKeesport,Princess,M2S101,Node: 1 Block: 2,
occupancy,BS S-1,BS S-1,South Yard,M2S206,Node: 2 Block: 7,
occupancy,BS S-2,BS S-2,South Yard,M2S205,Node: 2 Block: 6,
occupancy,BS S-3,BS S-3,South Yard,M2S204,Node: 2 Block: 5,
occupancy,BS S-4,BS S-4,South Yard,M2S203,Node: 2 Block: 4,
occupancy,BS S-R,BS S-R,South Yard,M2S207,Node: 2 Block: 8,
occupancy,BS Scale,BS Scale,Plane,M2S407,Node: 4 Block: 8,
occupancy,BS Switch 1,BS Switch 1,Brick,M2S401,Node: 4 Block: 2,
occupancy,BS Switch 11,BS Switch 11,,M2S1301,Node: 13 Block: 2,
occupancy,BS Switch 13,BS Switch 13,Engine House,M2S300,Node: 3 Block: 1,
occupancy,BS Switch 15,BS Switch 15,South Yard,M2S301,Node: 3 Block: 2,
occupancy,BS Switch 17,BS Switch 17,South Yard,M2S302,Node: 3 Block: 3,
occupancy,BS Switch 19,BS Switch 19,South Yard,M2S304,Node: 3 Block: 5,
occupancy,BS Switch 21,BS Switch 21,South Yard,M2S306,Node: 3 Block: 7,
occupancy,BS Switch 23a,BS Switch 23a,East End,M2S1203,Node: 12 Block: 4,
occupancy,BS Switch 23b,BS Switch 23b,East End,M2S1205,Node: 12 Block: 6,
occupancy,BS Switch 25,BS Switch 25,East End,M2S1200,Node: 12 Block: 1,
occupancy,BS Switch 27,BS Switch 27,East End,M2S1202,Node: 12 Block: 3,
occupancy,BS Switch 29,BS Switch 29,East End,M2S1204,Node: 12 Block: 5,
occupancy,BS Switch 3,BS Switch 3,Brick,M2S400,Node: 4 Block: 1,
occupancy,BS Switch 31,BS Switch 31,East End,M2S1206,Node: 12 Block: 7,
occupancy,BS Switch 33,BS Switch 33,East End,M2S1207,Node: 12 Block: 8,
occupancy,BS Switch 35a,BS Switch 35a,Princess,M2S105,Node: 1 Block: 6,
occupancy,BS Switch 35b,BS Switch 35b,Princess,M2S104,Node: 1 Block: 5,
occupancy,BS Switch 37 / BS K-2,BS Switch 37 / BS K-2,Princess,M2S102,Node: 1 Block: 3,
occupancy,BS Switch 39 / BS K-1,BS Switch 39 / BS K-1,Princess,M2S103,Node: 1 Block: 4,
occupancy,BS Switch 5,BS Switch 5,Plane,M2S404,Node: 4 Block: 5,
occupancy,BS Switch 7,BS Switch 7,Barn,M2S1302,Node: 13 Block: 3,
occupancy,BS Switch 7b,BS Switch 7b,Barn,M2S1303,Node: 13 Block: 4,
occupancy,BS Switch 9,BS Switch 9,,M2S1307,Node: 13 Block: 8,
occupancy,BS W-1,BS W-1,Brick,M2S403,Node: 4 Block: 4,
occupancy,BS W-2,BS W-2,Brick,M2S402,Node: 4 Block: 3,
occupancy,BS West Main Ext,BS West Main Ext,East End,M2S107,Node: 1 Block: 8,
occupancy,unused Block 2-2,unused Block 2-2,,M2S201,Node: 2 Block: 2,
occupancy,unused Block 3-8,unused Block 3-8,,M2S307,Node: 3 Block: 8,
occupancy,Block 13-1,BS Barn,Barn,M2S1300,Node: 13 Block: 1,historical alias; canvas BS userName; comment stays Block 13-1
occupancy,Block 4-6,BS Brick-Plane,Brick,M2S405,Node: 4 Block: 6,historical alias; canvas BS userName; comment stays Block 4-6
occupancy,Block 13-7,BS EH-1,,M2S1306,Node: 13 Block: 7,historical alias; canvas BS userName; comment stays Block 13-7
occupancy,Block 13-6,BS EH-2,,M2S1305,Node: 13 Block: 6,historical alias; canvas BS userName; comment stays Block 13-6
occupancy,Block 13-5,BS EH-3,,M2S1304,Node: 13 Block: 5,historical alias; canvas BS userName; comment stays Block 13-5
occupancy,Block 1-7,BS East Lead,East End,M2S106,Node: 1 Block: 7,historical alias; canvas BS userName; comment stays Block 1-7
occupancy,Block 4-7,BS East Main Ext,Plane,M2S406,Node: 4 Block: 7,historical alias; canvas BS userName; comment stays Block 4-7
occupancy,Block 2-3,BS Main East,,M2S202,Node: 2 Block: 3,historical alias; canvas BS userName; comment stays Block 2-3
occupancy,Block 2-1,BS Main West,,M2S200,Node: 2 Block: 1,historical alias; canvas BS userName; comment stays Block 2-1
occupancy,Block 1-1,BS McKees Rocks,Princess,M2S100,Node: 1 Block: 1,historical alias; canvas BS userName; comment stays Block 1-1
occupancy,Block 1-2,BS McKeesport,Princess,M2S101,Node: 1 Block: 2,historical alias; canvas BS userName; comment stays Block 1-2
occupancy,Block 2-7,BS S-1,South Yard,M2S206,Node: 2 Block: 7,historical alias; canvas BS userName; comment stays Block 2-7
occupancy,Block 2-6,BS S-2,South Yard,M2S205,Node: 2 Block: 6,historical alias; canvas BS userName; comment stays Block 2-6
occupancy,Block 2-5,BS S-3,South Yard,M2S204,Node: 2 Block: 5,historical alias; canvas BS userName; comment stays Block 2-5
occupancy,Block 2-4,BS S-4,South Yard,M2S203,Node: 2 Block: 4,historical alias; canvas BS userName; comment stays Block 2-4
occupancy,Block 2-8,BS S-R,South Yard,M2S207,Node: 2 Block: 8,historical alias; canvas BS userName; comment stays Block 2-8
occupancy,Block 4-8,BS Scale,Plane,M2S407,Node: 4 Block: 8,historical alias; canvas BS userName; comment stays Block 4-8
occupancy,Block 4-2,BS Switch 1,Brick,M2S401,Node: 4 Block: 2,historical alias; canvas BS userName; comment stays Block 4-2
occupancy,Block 13-2,BS Switch 11,,M2S1301,Node: 13 Block: 2,historical alias; canvas BS userName; comment stays Block 13-2
occupancy,Block 3-1,BS Switch 13,Engine House,M2S300,Node: 3 Block: 1,historical alias; canvas BS userName; comment stays Block 3-1
occupancy,Block 3-2,BS Switch 15,South Yard,M2S301,Node: 3 Block: 2,historical alias; canvas BS userName; comment stays Block 3-2
occupancy,Block 3-3,BS Switch 17,South Yard,M2S302,Node: 3 Block: 3,historical alias; canvas BS userName; comment stays Block 3-3
occupancy,Block 3-5,BS Switch 19,South Yard,M2S304,Node: 3 Block: 5,historical alias; canvas BS userName; comment stays Block 3-5
occupancy,Block 3-7,BS Switch 21,South Yard,M2S306,Node: 3 Block: 7,historical alias; canvas BS userName; comment stays Block 3-7
occupancy,Block 12-4,BS Switch 23a,East End,M2S1203,Node: 12 Block: 4,historical alias; canvas BS userName; comment stays Block 12-4
occupancy,Block 12-6,BS Switch 23b,East End,M2S1205,Node: 12 Block: 6,historical alias; canvas BS userName; comment stays Block 12-6
occupancy,Block 12-1,BS Switch 25,East End,M2S1200,Node: 12 Block: 1,historical alias; canvas BS userName; comment stays Block 12-1
occupancy,Block 12-3,BS Switch 27,East End,M2S1202,Node: 12 Block: 3,historical alias; canvas BS userName; comment stays Block 12-3
occupancy,Block 12-5,BS Switch 29,East End,M2S1204,Node: 12 Block: 5,historical alias; canvas BS userName; comment stays Block 12-5
occupancy,Block 4-1,BS Switch 3,Brick,M2S400,Node: 4 Block: 1,historical alias; canvas BS userName; comment stays Block 4-1
occupancy,Block 12-7,BS Switch 31,East End,M2S1206,Node: 12 Block: 7,historical alias; canvas BS userName; comment stays Block 12-7
occupancy,Block 12-8,BS Switch 33,East End,M2S1207,Node: 12 Block: 8,historical alias; canvas BS userName; comment stays Block 12-8
occupancy,Block 1-6,BS Switch 35a,Princess,M2S105,Node: 1 Block: 6,historical alias; canvas BS userName; comment stays Block 1-6
occupancy,Block 1-5,BS Switch 35b,Princess,M2S104,Node: 1 Block: 5,historical alias; canvas BS userName; comment stays Block 1-5
occupancy,Block 1-3,BS Switch 37 / BS K-2,Princess,M2S102,Node: 1 Block: 3,historical alias; canvas BS userName; comment stays Block 1-3
occupancy,Block 1-4,BS Switch 39 / BS K-1,Princess,M2S103,Node: 1 Block: 4,historical alias; canvas BS userName; comment stays Block 1-4
occupancy,Block 4-5,BS Switch 5,Plane,M2S404,Node: 4 Block: 5,historical alias; canvas BS userName; comment stays Block 4-5
occupancy,Block 13-3,BS Switch 7,Barn,M2S1302,Node: 13 Block: 3,historical alias; canvas BS userName; comment stays Block 13-3
occupancy,Block 13-4,BS Switch 7b,Barn,M2S1303,Node: 13 Block: 4,historical alias; canvas BS userName; comment stays Block 13-4
occupancy,Block 13-8,BS Switch 9,,M2S1307,Node: 13 Block: 8,historical alias; canvas BS userName; comment stays Block 13-8
occupancy,Block 4-4,BS W-1,Brick,M2S403,Node: 4 Block: 4,historical alias; canvas BS userName; comment stays Block 4-4
occupancy,Block 4-3,BS W-2,Brick,M2S402,Node: 4 Block: 3,historical alias; canvas BS userName; comment stays Block 4-3
occupancy,Block 1-8,BS West Main Ext,East End,M2S107,Node: 1 Block: 8,historical alias; canvas BS userName; comment stays Block 1-8
occupancy,Block 2-2,BS unused,,M2S201,,historical alias; canvas BS userName; comment stays Block 2-2
occupancy,Block 3-8,BS unused,,M2S307,,historical alias; canvas BS userName; comment stays Block 3-8
mast,Mast 10LA,Mast 10LA,Engine House,virtual $1006,Engine House | Switch 9,
mast,Mast 10LB,Mast 10LB,Engine House,virtual $1007,Engine House | Switch 9,
mast,Mast 12L,Mast 12L,Engine House,virtual $1005,Engine House | Switch 11,
mast,Mast 16L,Mast 16L,South Yard,virtual $1016,South Yard | Switch 15,
mast,Mast 18L,Mast 18L,South Yard,virtual $1008,South Yard | Switch 17,
mast,Mast 18R,Mast 18R,South Yard,virtual $1012,South Yard | Switch 17,
mast,Mast 2035,Mast 2035,Princess,IH141,Princess,
mast,Mast 2036,Mast 2036,Princess,IH134,Princess,
mast,Mast 20L,Mast 20L,South Yard,virtual $1009,South Yard | Switch 19,
mast,Mast 20R,Mast 20R,South Yard,virtual $1013,South Yard | Switch 19,
mast,Mast 22L,Mast 22L,South Yard,virtual $1010,South Yard | Switch 21,
mast,Mast 22R,Mast 22R,South Yard,virtual $1014,South Yard | Switch 21,
mast,Mast 24L,Mast 24L,East End,IH1234 IH1235,East End | Switch 23,
mast,Mast 24RA,Mast 24RA,East End,IH1232 IH1233,East End | Switch 23,
mast,Mast 24RB,Mast 24RB,East End,IH1236,East End | Switch 23,
mast,Mast 26L,Mast 26L,South Yard,virtual $1011,South Yard | Switch 21,
mast,Mast 26R,Mast 26R,South Yard,virtual $1015,South Yard | Switch 21,
mast,Mast 2L,Mast 2L,Brick,IH438 IH439,Brick | Switch 1,
mast,Mast 32L,Mast 32L,East End,virtual $1017,East End | Switch 31,
mast,Mast 32R,Mast 32R,East End,IH1239,East End | Switch 31,
mast,Mast 34L,Mast 34L,East End,IH1237 IH1238,East End | Switch 33,
mast,Mast 34R,Mast 34R,East End,IH1240 IH1241,East End | Switch 33,
mast,Mast 36RA,Mast 36RA,Princess,IH135 IH136,Princess | Switch 35,
mast,Mast 36RB,Mast 36RB,Princess,IH137 IH138,Princess | Switch 35,
mast,Mast 38LA,Mast 38LA,Princess,IH143,Princess | Switch 37,
mast,Mast 38LB,Mast 38LB,Princess,IH139 IH140,Princess | Switch 37,
mast,Mast 38RA,Mast 38RA,Princess,virtual $1004,Princess | Switch 37,
mast,Mast 40LA,Mast 40LA,Princess,IH142,Princess | Switch 39,
mast,Mast 40LB,Mast 40LB,Princess,IH132 IH133,Princess | Switch 39,
mast,Mast 40RA,Mast 40RA,Princess,virtual $1003,Princess | Switch 39,
mast,Mast 4LA,Mast 4LA,Brick,virtual $1001,Brick | Switch 3,
mast,Mast 4LB,Mast 4LB,Brick,virtual $1002,Brick | Switch 3,
mast,Mast 4RA,Mast 4RA,Brick,IH436,Brick | Switch 3,
mast,Mast 4RB,Mast 4RB,Brick,IH437,Brick | Switch 3,
mast,Mast 6LA,Mast 6LA,Plane,IH434,Plane | Switch 5,
mast,Mast 6LB,Mast 6LB,Plane,IH432 IH433,Plane | Switch 5,
mast,Mast 8LA,Mast 8LA,Barn,IH1337 IH1338,Barn | Switch 7,
mast,Mast 8LB,Mast 8LB,Barn,IH1334,Barn | Switch 7,
mast,Mast 8RA,Mast 8RA,Barn,IH1332 IH1333,Barn | Switch 7,
mast,Mast 8RB,Mast 8RB,Barn,IH1335 IH1336,Barn | Switch 7,
mast,119LA,Mast 10LA,Engine House,virtual $1006,Engine House | Switch 9,historical alias; hidden EH-2 bumper; Dispatcher Stage 1
mast,Engine House 2 buffer,Mast 10LA,Engine House,virtual $1006,Engine House | Switch 9,historical alias; hidden stub-end for Dispatcher Stage 1
mast,119LB,Mast 10LB,Engine House,virtual $1007,Engine House | Switch 9,historical alias; hidden EH-3 bumper; Dispatcher Stage 1
mast,Engine House 3 buffer,Mast 10LB,Engine House,virtual $1007,Engine House | Switch 9,historical alias; hidden stub-end for Dispatcher Stage 1
mast,118L,Mast 12L,Engine House,virtual $1005,Engine House | Switch 11,historical alias; hidden EH-1 bumper; Dispatcher Stage 1
mast,Engine House 1 buffer,Mast 12L,Engine House,virtual $1005,Engine House | Switch 11,historical alias; hidden stub-end for Dispatcher Stage 1
mast,103L,Mast 16L,South Yard,virtual $1016,South Yard | Switch 15,historical alias; hidden S-R west / 103 ladder; Dispatcher Stage 1
mast,104L,Mast 18L,South Yard,virtual $1008,South Yard | Switch 17,historical alias; hidden S-1 west throat; Dispatcher Stage 1
mast,South Yard 2 west,Mast 18L,South Yard,virtual $1008,South Yard | Switch 17,historical alias; hidden stub-end for Dispatcher Stage 1
mast,104R,Mast 18R,South Yard,virtual $1012,South Yard | Switch 17,historical alias; hidden S-1 east throat; Dispatcher Stage 1
mast,120L,Mast 2035,Princess,IH141,Princess,historical alias; Princess intermediate (was 115R / 120L); field 2035; no switch
mast,Princess East McKees Rocks,Mast 2035,Princess,IH141,Princess,historical alias; dwarf; field 2035 (was 120L); no switch; Princess intermediates
mast,120R,Mast 2036,Princess,IH134,Princess,historical alias; Princess intermediate (was 114R / 120R); field 2036; no switch
mast,Princess East McKeesport,Mast 2036,Princess,IH134,Princess,historical alias; dwarf; field 2036 (was 120R); no switch; Princess intermediates
mast,105L,Mast 20L,South Yard,virtual $1009,South Yard | Switch 19,historical alias; hidden S-2 west throat; Dispatcher Stage 1
mast,South Yard 3 west,Mast 20L,South Yard,virtual $1009,South Yard | Switch 19,historical alias; hidden stub-end for Dispatcher Stage 1
mast,105R,Mast 20R,South Yard,virtual $1013,South Yard | Switch 19,historical alias; hidden S-2 east throat; Dispatcher Stage 1
mast,106L,Mast 22L,South Yard,virtual $1010,South Yard | Switch 21,historical alias; hidden S-3 west throat; Dispatcher Stage 1
mast,South Yard 4 west,Mast 22L,South Yard,virtual $1010,South Yard | Switch 21,historical alias; hidden stub-end for Dispatcher Stage 1
mast,106R,Mast 22R,South Yard,virtual $1014,South Yard | Switch 21,historical alias; hidden S-3 east throat; Dispatcher Stage 1
mast,111L,Mast 24L,East End,IH1234 IH1235,East End | Switch 23,historical alias; lever 18 Left
mast,East End East OS 111a,Mast 24L,East End,IH1234 IH1235,East End | Switch 23,historical alias; lever 18 Left
mast,111RA,Mast 24RA,East End,IH1232 IH1233,East End | Switch 23,historical alias; lever 18 Right; Main West
mast,East End West Main West,Mast 24RA,East End,IH1232 IH1233,East End | Switch 23,historical alias; lever 18 Right; Main West
mast,111RB,Mast 24RB,East End,IH1236,East End | Switch 23,historical alias; lever 18 Right; S-R dwarf
mast,East End West Yard Track 1,Mast 24RB,East End,IH1236,East End | Switch 23,historical alias; lever 18 Right; South Yard 1 dwarf
mast,107L,Mast 26L,South Yard,virtual $1011,South Yard | Switch 21,historical alias; hidden S-4 west throat; Dispatcher Stage 1
mast,South Yard 5 west,Mast 26L,South Yard,virtual $1011,South Yard | Switch 21,historical alias; hidden stub-end for Dispatcher Stage 1
mast,107R,Mast 26R,South Yard,virtual $1015,South Yard | Switch 21,historical alias; hidden S-4 east throat; Dispatcher Stage 1
mast,100L,Mast 2L,Brick,IH438 IH439,Brick | Switch 1,historical alias; lever 4 Left
mast,Brick East Main West,Mast 2L,Brick,IH438 IH439,Brick | Switch 1,historical alias; lever 4 Left
mast,110L,Mast 32L,East End,virtual $1017,East End | Switch 31,historical alias; hidden S-R east / 110 ladder; Dispatcher Stage 1
mast,110R,Mast 32R,East End,IH1239,East End | Switch 31,historical alias; lever 20 Right; dwarf
mast,East End South OS 110,Mast 32R,East End,IH1239,East End | Switch 31,historical alias; lever 20 Right; dwarf
mast,112L,Mast 34L,East End,IH1237 IH1238,East End | Switch 33,historical alias; lever 24 Left
mast,East End East Lead,Mast 34L,East End,IH1237 IH1238,East End | Switch 33,historical alias; lever 24 Left
mast,112R,Mast 34R,East End,IH1240 IH1241,East End | Switch 33,historical alias; lever 24 Right; Main East
mast,East End South OS 112,Mast 34R,East End,IH1240 IH1241,East End | Switch 33,historical alias; lever 24 Right; Main East
mast,113RA,Mast 36RA,Princess,IH135 IH136,Princess | Switch 35,historical alias; lever 26 Right; Main West
mast,Princess West OS 113b,Mast 36RA,Princess,IH135 IH136,Princess | Switch 35,historical alias; lever 26 Right; Main West
mast,113RB,Mast 36RB,Princess,IH137 IH138,Princess | Switch 35,historical alias; lever 26 Right; South Yard East
mast,Princess West OS 113a,Mast 36RB,Princess,IH137 IH138,Princess | Switch 35,historical alias; lever 26 Right; South Yard East
mast,114LA,Mast 38LA,Princess,IH143,Princess | Switch 37,historical alias; lever 28 Left; dwarf
mast,Princess East K-2,Mast 38LA,Princess,IH143,Princess | Switch 37,historical alias; lever 28 Left; dwarf
mast,114LB,Mast 38LB,Princess,IH139 IH140,Princess | Switch 37,historical alias; lever 28 Left
mast,Princess South McKeesport,Mast 38LB,Princess,IH139 IH140,Princess | Switch 37,historical alias; lever 28 Left
mast,114RA,Mast 38RA,Princess,virtual $1004,Princess | Switch 37,historical alias; hidden K-2 bumper; Dispatcher Stage 1
mast,K-2 buffer,Mast 38RA,Princess,virtual $1004,Princess | Switch 37,historical alias; hidden stub-end for Dispatcher Stage 1
mast,115LA,Mast 40LA,Princess,IH142,Princess | Switch 39,historical alias; lever 30 Left; dwarf
mast,Princess East K-1,Mast 40LA,Princess,IH142,Princess | Switch 39,historical alias; lever 30 Left; dwarf
mast,115LB,Mast 40LB,Princess,IH132 IH133,Princess | Switch 39,historical alias; lever 30 Left
mast,Princess North McKees Rocks,Mast 40LB,Princess,IH132 IH133,Princess | Switch 39,historical alias; lever 30 Left
mast,115RA,Mast 40RA,Princess,virtual $1003,Princess | Switch 39,historical alias; hidden K-1 bumper; Dispatcher Stage 1
mast,K-1 buffer,Mast 40RA,Princess,virtual $1003,Princess | Switch 39,historical alias; hidden stub-end for Dispatcher Stage 1
mast,101LA,Mast 4LA,Brick,virtual $1001,Brick | Switch 3,historical alias; hidden W-1 bumper; Dispatcher Stage 1
mast,West Yard 1 buffer,Mast 4LA,Brick,virtual $1001,Brick | Switch 3,historical alias; hidden stub-end for Dispatcher Stage 1
mast,101LB,Mast 4LB,Brick,virtual $1002,Brick | Switch 3,historical alias; hidden W-2 bumper; Dispatcher Stage 1
mast,West Yard 2 buffer,Mast 4LB,Brick,virtual $1002,Brick | Switch 3,historical alias; hidden stub-end for Dispatcher Stage 1
mast,101RA,Mast 4RA,Brick,IH436,Brick | Switch 3,historical alias; lever 2 Right; W-1 dwarf
mast,Brick West Yard 1,Mast 4RA,Brick,IH436,Brick | Switch 3,historical alias; lever 2 Right; W-1 dwarf
mast,101RB,Mast 4RB,Brick,IH437,Brick | Switch 3,historical alias; lever 2 Right; W-2 dwarf
mast,Brick West Yard 2,Mast 4RB,Brick,IH437,Brick | Switch 3,historical alias; lever 2 Right; W-2 dwarf
mast,102LA,Mast 6LA,Plane,IH434,Plane | Switch 5,historical alias; lever 6 Left; Scale; 1-head dwarf (was 2-head; IH435 removed)
mast,Plane East OS 102,Mast 6LA,Plane,IH434,Plane | Switch 5,historical alias; lever 6 Left; Scale; 1-head dwarf (was 2-head)
mast,102LB,Mast 6LB,Plane,IH432 IH433,Plane | Switch 5,historical alias; lever 6 Left; main
mast,Plane East East Main Ext,Mast 6LB,Plane,IH432 IH433,Plane | Switch 5,historical alias; lever 6 Left; main
mast,117LA,Mast 8LA,Barn,IH1337 IH1338,Barn | Switch 7,historical alias; lever 8 Left; main (2-head JMRI; USS lamp uses top head)
mast,West Yard East OS 117b,Mast 8LA,Barn,IH1337 IH1338,Barn | Switch 7,historical alias; lever 8 Left; main
mast,117LB,Mast 8LB,Barn,IH1334,Barn | Switch 7,historical alias; lever 8 Left; Barn dwarf
mast,West Yard East Yard T6,Mast 8LB,Barn,IH1334,Barn | Switch 7,historical alias; lever 8 Left; Barn dwarf
mast,117RA,Mast 8RA,Barn,IH1332 IH1333,Barn | Switch 7,historical alias; lever 8 Right; yard (2-head JMRI; USS lamp uses top head)
mast,West Yard West OS 117,Mast 8RA,Barn,IH1332 IH1333,Barn | Switch 7,historical alias; lever 8 Right; yard
mast,117RB,Mast 8RB,Barn,IH1335 IH1336,Barn | Switch 7,historical alias; lever 8 Right; main
mast,West Yard West East Main Ext,Mast 8RB,Barn,IH1335 IH1336,Barn | Switch 7,historical alias; lever 8 Right; main
head,Head 2035,Head 2035,Princess,IH141,"Node: 11 Signal: 2 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",
head,Head 2036,Head 2036,Princess,IH134,"Node: 11 Signal: 1 | OU: 3 Ports: 4,5,6",
head,Head 24L Bottom,Head 24L Bottom,East End,IH1235,"Node: 2 Signal: 7 | OU: 2 Ports: 4,5,6",
head,Head 24L Top,Head 24L Top,East End,IH1234,"Node: 2 Signal: 1 | OU: 2 Ports: 1,2,3",
head,Head 24RA Bottom,Head 24RA Bottom,East End,IH1233,"Node: 2 Signal: 6 | OU: 1 Ports: 4,5,6",
head,Head 24RA Top,Head 24RA Top,East End,IH1232,"Node: 2 Signal: 0 | OU: 1 Ports: 1,2,3",
head,Head 24RB,Head 24RB,East End,IH1236,"Node: 2 Signal: 2 | OU: 3 Ports: 6,7,8",
head,Head 2L Bottom,Head 2L Bottom,Brick,IH439,"Node: 4 Signal: 7 | OU: 3 Ports: 4,5,6",
head,Head 2L Top,Head 2L Top,Brick,IH438,"Node: 4 Signal: 6 | OU: 3 Ports: 1,2,3",
head,Head 32R,Head 32R,East End,IH1239,"Node: 12 Signal: 2 | OU: 2 Ports: 7 | OU: 3 Ports: 8,7",
head,Head 34L Bottom,Head 34L Bottom,East End,IH1238,"Node: 12 Signal: 1 | OU: 2 Ports: 4,5,6",
head,Head 34L Top,Head 34L Top,East End,IH1237,"Node: 12 Signal: 0 | OU: 2 Ports: 1,2,3",
head,Head 34R Bottom,Head 34R Bottom,East End,IH1241,"Node: 12 Signal: 4 | OU: 3 Ports: 4,5,6",
head,Head 34R Top,Head 34R Top,East End,IH1240,"Node: 12 Signal: 3 | OU: 3 Ports: 1,2,3",
head,Head 36RA Bottom,Head 36RA Bottom,Princess,IH136,"Node: 1 Signal: 4 | OU: 2 Ports: 4,5,6",
head,Head 36RA Top,Head 36RA Top,Princess,IH135,"Node: 1 Signal: 3 | OU: 2 Ports: 1,2,3",
head,Head 36RB Bottom,Head 36RB Bottom,Princess,IH138,"Node: 1 Signal: 1 | OU: 3 Ports: 4,5,6",
head,Head 36RB Top,Head 36RB Top,Princess,IH137,"Node: 1 Signal: 0 | OU: 3 Ports: 1,2,3",
head,Head 38LA,Head 38LA,Princess,IH143,"Node: 1 Signal: 11 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",
head,Head 38LB Bottom,Head 38LB Bottom,Princess,IH140,"Node: 1 Signal: 8 | OU: 4 Ports: 4,5,6",
head,Head 38LB Top,Head 38LB Top,Princess,IH139,"Node: 1 Signal: 7 | OU: 4 Ports: 1,2,3",
head,Head 40LA,Head 40LA,Princess,IH142,"Node: 11 Signal: 4 | OU: 3 Ports: 1,2,3",
head,Head 40LB Bottom,Head 40LB Bottom,Princess,IH133,"Node: 11 Signal: 3 | OU: 2 Ports: 4,5,6",
head,Head 40LB Top,Head 40LB Top,Princess,IH132,"Node: 11 Signal: 0 | OU: 2 Ports: 1,2,3",
head,Head 4RA,Head 4RA,Brick,IH436,"Node: 4 Signal: 4 | OU: 4 Ports: 1,2,3",
head,Head 4RB,Head 4RB,Brick,IH437,"Node: 4 Signal: 5 | OU: 4 Ports: 4,5,6",
head,Head 6LA,Head 6LA,Plane,IH434,"Node: 4 Signal: 2 | OU: 2 Ports: 7 | OU: 3 Ports: 8,7",
head,Head 6LB Bottom,Head 6LB Bottom,Plane,IH433,"Node: 4 Signal: 1 | OU: 2 Ports: 4,5,6",
head,Head 6LB Top,Head 6LB Top,Plane,IH432,"Node: 4 Signal: 0 | OU: 2 Ports: 1,2,3",
head,Head 8LA Bottom,Head 8LA Bottom,Barn,IH1338,"Node: 13 Signal: 6 | OU: 2 Ports: 4,5,6",
head,Head 8LA Top,Head 8LA Top,Barn,IH1337,"Node: 13 Signal: 5 | OU: 2 Ports: 1,2,3",
head,Head 8LB,Head 8LB,Barn,IH1334,"Node: 13 Signal: 2 | OU: 2 Ports: 7,8 | OU: 4 Ports: 7",
head,Head 8RA Bottom,Head 8RA Bottom,Barn,IH1333,"Node: 13 Signal: 1 | OU: 1 Ports: 4,5,6",
head,Head 8RA Top,Head 8RA Top,Barn,IH1332,"Node: 13 Signal: 0 | OU: 1 Ports: 1,2,3",
head,Head 8RB Bottom,Head 8RB Bottom,Barn,IH1336,"Node: 13 Signal: 4 | OU: 4 Ports: 4,5,6",
head,Head 8RB Top,Head 8RB Top,Barn,IH1335,"Node: 13 Signal: 3 | OU: 4 Ports: 1,2,3",
head,120L,Head 2035,Princess,IH141,"Node: 11 Signal: 2 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",historical alias; dwarf lamps; field 2035; no switch
head,Princess East McKees Rocks,Head 2035,Princess,IH141,"Node: 11 Signal: 2 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",historical alias; dwarf; field 2035 (was 120L); no switch; Princess intermediates
head,120R,Head 2036,Princess,IH134,"Node: 11 Signal: 1 | OU: 3 Ports: 4,5,6",historical alias; dwarf lamps; field 2036; no switch
head,Princess East McKeesport,Head 2036,Princess,IH134,"Node: 11 Signal: 1 | OU: 3 Ports: 4,5,6",historical alias; dwarf; field 2036 (was 120R); no switch; Princess intermediates
head,111L Bottom,Head 24L Bottom,East End,IH1235,"Node: 2 Signal: 7 | OU: 2 Ports: 4,5,6",historical alias
head,East End East OS 111a Bottom,Head 24L Bottom,East End,IH1235,"Node: 2 Signal: 7 | OU: 2 Ports: 4,5,6",historical alias of 111L Bottom
head,111L Top,Head 24L Top,East End,IH1234,"Node: 2 Signal: 1 | OU: 2 Ports: 1,2,3",historical alias
head,East End East OS 111a Top,Head 24L Top,East End,IH1234,"Node: 2 Signal: 1 | OU: 2 Ports: 1,2,3",historical alias of 111L Top
head,111RA Bottom,Head 24RA Bottom,East End,IH1233,"Node: 2 Signal: 6 | OU: 1 Ports: 4,5,6",historical alias
