layer,hardware,current,proposed,cp,comment,notes
occupancy,M2S1204,Block 12-5,BS Switch 29,East End,Node: 12 Block: 5,historical alias; canvas BS userName; comment stays Block 12-5
occupancy,M2S400,Block 4-1,BS Switch 3,Brick,Node: 4 Block: 1,historical alias; canvas BS userName; comment stays Block 4-1
occupancy,M2S1206,Block 12-7,BS Switch 31,East End,Node: 12 Block: 7,historical alias; canvas BS userName; comment stays Block 12-7
occupancy,M2S1207,Block 12-8,BS Switch 33,East End,Node: 12 Block: 8,historical alias; canvas BS userName; comment stays Block 12-8
occupancy,M2S105,Block 1-6,BS Switch 35a,Princess,Node: 1 Block: 6,historical alias; canvas BS userName; comment stays Block 1-6
occupancy,M2S104,Block 1-5,BS Switch 35b,Princess,Node: 1 Block: 5,historical alias; canvas BS userName; comment stays Block 1-5
occupancy,M2S102,Block 1-3,BS Switch 37 / BS K-2,Princess,Node: 1 Block: 3,historical alias; canvas BS userName; comment stays Block 1-3
occupancy,M2S103,Block 1-4,BS Switch 39 / BS K-1,Princess,Node: 1 Block: 4,historical alias; canvas BS userName; comment stays Block 1-4
occupancy,M2S404,Block 4-5,BS Switch 5,Plane,Node: 4 Block: 5,historical alias; canvas BS userName; comment stays Block 4-5
occupancy,M2S1302,Block 13-3,BS Switch 7,Barn,Node: 13 Block: 3,historical alias; canvas BS userName; comment stays Block 13-3
occupancy,M2S1303,Block 13-4,BS Switch 7b,Barn,Node: 13 Block: 4,historical alias; canvas BS userName; comment stays Block 13-4
occupancy,M2S1307,Block 13-8,BS Switch 9,,Node: 13 Block: 8,historical alias; canvas BS userName; comment stays Block 13-8
occupancy,M2S403,Block 4-4,BS W-1,Brick,Node: 4 Block: 4,historical alias; canvas BS userName; comment stays Block 4-4
occupancy,M2S402,Block 4-3,BS W-2,Brick,Node: 4 Block: 3,historical alias; canvas BS userName; comment stays Block 4-3
occupancy,M2S107,Block 1-8,BS West Main Ext,East End,Node: 1 Block: 8,historical alias; canvas BS userName; comment stays Block 1-8
occupancy,M2S201,Block 2-2,BS unused,,,historical alias; canvas BS userName; comment stays Block 2-2
occupancy,M2S307,Block 3-8,BS unused,,,historical alias; canvas BS userName; comment stays Block 3-8
mast,virtual $1006,119LA,Mast 10LA,Engine House,Engine House | Switch 9,historical alias; hidden EH-2 bumper; Dispatcher Stage 1
mast,virtual $1006,Engine House 2 buffer,Mast 10LA,Engine House,Engine House | Switch 9,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1007,119LB,Mast 10LB,Engine House,Engine House | Switch 9,historical alias; hidden EH-3 bumper; Dispatcher Stage 1
mast,virtual $1007,Engine House 3 buffer,Mast 10LB,Engine House,Engine House | Switch 9,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1005,118L,Mast 12L,Engine House,Engine House | Switch 11,historical alias; hidden EH-1 bumper; Dispatcher Stage 1
mast,virtual $1005,Engine House 1 buffer,Mast 12L,Engine House,Engine House | Switch 11,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1016,103L,Mast 16L,South Yard,South Yard | Switch 15,historical alias; hidden S-R west / 103 ladder; Dispatcher Stage 1
mast,virtual $1008,104L,Mast 18L,South Yard,South Yard | Switch 17,historical alias; hidden S-1 west throat; Dispatcher Stage 1
mast,virtual $1008,South Yard 2 west,Mast 18L,South Yard,South Yard | Switch 17,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1012,104R,Mast 18R,South Yard,South Yard | Switch 17,historical alias; hidden S-1 east throat; Dispatcher Stage 1
mast,IH141,120L,Mast 2035,Princess,Princess,historical alias; Princess intermediate (was 115R / 120L); field 2035; no switch
mast,IH141,Princess East McKees Rocks,Mast 2035,Princess,Princess,historical alias; dwarf; field 2035 (was 120L); no switch; Princess intermediates
mast,IH134,120R,Mast 2036,Princess,Princess,historical alias; Princess intermediate (was 114R / 120R); field 2036; no switch
mast,IH134,Princess East McKeesport,Mast 2036,Princess,Princess,historical alias; dwarf; field 2036 (was 120R); no switch; Princess intermediates
mast,virtual $1009,105L,Mast 20L,South Yard,South Yard | Switch 19,historical alias; hidden S-2 west throat; Dispatcher Stage 1
mast,virtual $1009,South Yard 3 west,Mast 20L,South Yard,South Yard | Switch 19,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1013,105R,Mast 20R,South Yard,South Yard | Switch 19,historical alias; hidden S-2 east throat; Dispatcher Stage 1
mast,virtual $1010,106L,Mast 22L,South Yard,South Yard | Switch 21,historical alias; hidden S-3 west throat; Dispatcher Stage 1
mast,virtual $1010,South Yard 4 west,Mast 22L,South Yard,South Yard | Switch 21,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1014,106R,Mast 22R,South Yard,South Yard | Switch 21,historical alias; hidden S-3 east throat; Dispatcher Stage 1
mast,IH1234 IH1235,111L,Mast 24L,East End,East End | Switch 23,historical alias; lever 18 Left
mast,IH1234 IH1235,East End East OS 111a,Mast 24L,East End,East End | Switch 23,historical alias; lever 18 Left
mast,IH1232 IH1233,111RA,Mast 24RA,East End,East End | Switch 23,historical alias; lever 18 Right; Main West
mast,IH1232 IH1233,East End West Main West,Mast 24RA,East End,East End | Switch 23,historical alias; lever 18 Right; Main West
mast,IH1236,111RB,Mast 24RB,East End,East End | Switch 23,historical alias; lever 18 Right; S-R dwarf
mast,IH1236,East End West Yard Track 1,Mast 24RB,East End,East End | Switch 23,historical alias; lever 18 Right; South Yard 1 dwarf
mast,virtual $1011,107L,Mast 26L,South Yard,South Yard | Switch 21,historical alias; hidden S-4 west throat; Dispatcher Stage 1
mast,virtual $1011,South Yard 5 west,Mast 26L,South Yard,South Yard | Switch 21,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1015,107R,Mast 26R,South Yard,South Yard | Switch 21,historical alias; hidden S-4 east throat; Dispatcher Stage 1
mast,IH438 IH439,100L,Mast 2L,Brick,Brick | Switch 1,historical alias; lever 4 Left
mast,IH438 IH439,Brick East Main West,Mast 2L,Brick,Brick | Switch 1,historical alias; lever 4 Left
mast,virtual $1017,110L,Mast 32L,East End,East End | Switch 31,historical alias; hidden S-R east / 110 ladder; Dispatcher Stage 1
mast,IH1239,110R,Mast 32R,East End,East End | Switch 31,historical alias; lever 20 Right; dwarf
mast,IH1239,East End South OS 110,Mast 32R,East End,East End | Switch 31,historical alias; lever 20 Right; dwarf
mast,IH1237 IH1238,112L,Mast 34L,East End,East End | Switch 33,historical alias; lever 24 Left
mast,IH1237 IH1238,East End East Lead,Mast 34L,East End,East End | Switch 33,historical alias; lever 24 Left
mast,IH1240 IH1241,112R,Mast 34R,East End,East End | Switch 33,historical alias; lever 24 Right; Main East
mast,IH1240 IH1241,East End South OS 112,Mast 34R,East End,East End | Switch 33,historical alias; lever 24 Right; Main East
mast,IH135 IH136,113RA,Mast 36RA,Princess,Princess | Switch 35,historical alias; lever 26 Right; Main West
mast,IH135 IH136,Princess West OS 113b,Mast 36RA,Princess,Princess | Switch 35,historical alias; lever 26 Right; Main West
mast,IH137 IH138,113RB,Mast 36RB,Princess,Princess | Switch 35,historical alias; lever 26 Right; South Yard East
mast,IH137 IH138,Princess West OS 113a,Mast 36RB,Princess,Princess | Switch 35,historical alias; lever 26 Right; South Yard East
mast,IH143,114LA,Mast 38LA,Princess,Princess | Switch 37,historical alias; lever 28 Left; dwarf
mast,IH143,Princess East K-2,Mast 38LA,Princess,Princess | Switch 37,historical alias; lever 28 Left; dwarf
mast,IH139 IH140,114LB,Mast 38LB,Princess,Princess | Switch 37,historical alias; lever 28 Left
mast,IH139 IH140,Princess South McKeesport,Mast 38LB,Princess,Princess | Switch 37,historical alias; lever 28 Left
mast,virtual $1004,114RA,Mast 38RA,Princess,Princess | Switch 37,historical alias; hidden K-2 bumper; Dispatcher Stage 1
mast,virtual $1004,K-2 buffer,Mast 38RA,Princess,Princess | Switch 37,historical alias; hidden stub-end for Dispatcher Stage 1
mast,IH142,115LA,Mast 40LA,Princess,Princess | Switch 39,historical alias; lever 30 Left; dwarf
mast,IH142,Princess East K-1,Mast 40LA,Princess,Princess | Switch 39,historical alias; lever 30 Left; dwarf
mast,IH132 IH133,115LB,Mast 40LB,Princess,Princess | Switch 39,historical alias; lever 30 Left
mast,IH132 IH133,Princess North McKees Rocks,Mast 40LB,Princess,Princess | Switch 39,historical alias; lever 30 Left
mast,virtual $1003,115RA,Mast 40RA,Princess,Princess | Switch 39,historical alias; hidden K-1 bumper; Dispatcher Stage 1
mast,virtual $1003,K-1 buffer,Mast 40RA,Princess,Princess | Switch 39,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1001,101LA,Mast 4LA,Brick,Brick | Switch 3,historical alias; hidden W-1 bumper; Dispatcher Stage 1
mast,virtual $1001,West Yard 1 buffer,Mast 4LA,Brick,Brick | Switch 3,historical alias; hidden stub-end for Dispatcher Stage 1
mast,virtual $1002,101LB,Mast 4LB,Brick,Brick | Switch 3,historical alias; hidden W-2 bumper; Dispatcher Stage 1
mast,virtual $1002,West Yard 2 buffer,Mast 4LB,Brick,Brick | Switch 3,historical alias; hidden stub-end for Dispatcher Stage 1
mast,IH436,101RA,Mast 4RA,Brick,Brick | Switch 3,historical alias; lever 2 Right; W-1 dwarf
mast,IH436,Brick West Yard 1,Mast 4RA,Brick,Brick | Switch 3,historical alias; lever 2 Right; W-1 dwarf
mast,IH437,101RB,Mast 4RB,Brick,Brick | Switch 3,historical alias; lever 2 Right; W-2 dwarf
mast,IH437,Brick West Yard 2,Mast 4RB,Brick,Brick | Switch 3,historical alias; lever 2 Right; W-2 dwarf
mast,IH434,102LA,Mast 6LA,Plane,Plane | Switch 5,historical alias; lever 6 Left; Scale; 1-head dwarf (was 2-head; IH435 removed)
mast,IH434,Plane East OS 102,Mast 6LA,Plane,Plane | Switch 5,historical alias; lever 6 Left; Scale; 1-head dwarf (was 2-head)
mast,IH432 IH433,102LB,Mast 6LB,Plane,Plane | Switch 5,historical alias; lever 6 Left; main
mast,IH432 IH433,Plane East East Main Ext,Mast 6LB,Plane,Plane | Switch 5,historical alias; lever 6 Left; main
mast,IH1337 IH1338,117LA,Mast 8LA,Barn,Barn | Switch 7,historical alias; lever 8 Left; main (2-head JMRI; USS lamp uses top head)
mast,IH1337 IH1338,West Yard East OS 117b,Mast 8LA,Barn,Barn | Switch 7,historical alias; lever 8 Left; main
mast,IH1334,117LB,Mast 8LB,Barn,Barn | Switch 7,historical alias; lever 8 Left; Barn dwarf
mast,IH1334,West Yard East Yard T6,Mast 8LB,Barn,Barn | Switch 7,historical alias; lever 8 Left; Barn dwarf
mast,IH1332 IH1333,117RA,Mast 8RA,Barn,Barn | Switch 7,historical alias; lever 8 Right; yard (2-head JMRI; USS lamp uses top head)
mast,IH1332 IH1333,West Yard West OS 117,Mast 8RA,Barn,Barn | Switch 7,historical alias; lever 8 Right; yard
mast,IH1335 IH1336,117RB,Mast 8RB,Barn,Barn | Switch 7,historical alias; lever 8 Right; main
mast,IH1335 IH1336,West Yard West East Main Ext,Mast 8RB,Barn,Barn | Switch 7,historical alias; lever 8 Right; main
head,IH141,120L,Head 2035,Princess,"Node: 11 Signal: 2 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",historical alias; dwarf lamps; field 2035; no switch
head,IH141,Princess East McKees Rocks,Head 2035,Princess,"Node: 11 Signal: 2 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",historical alias; dwarf; field 2035 (was 120L); no switch; Princess intermediates
head,IH134,120R,Head 2036,Princess,"Node: 11 Signal: 1 | OU: 3 Ports: 4,5,6",historical alias; dwarf lamps; field 2036; no switch
head,IH134,Princess East McKeesport,Head 2036,Princess,"Node: 11 Signal: 1 | OU: 3 Ports: 4,5,6",historical alias; dwarf; field 2036 (was 120R); no switch; Princess intermediates
head,IH1235,111L Bottom,Head 24L Bottom,East End,"Node: 2 Signal: 7 | OU: 2 Ports: 4,5,6",historical alias
head,IH1235,East End East OS 111a Bottom,Head 24L Bottom,East End,"Node: 2 Signal: 7 | OU: 2 Ports: 4,5,6",historical alias of 111L Bottom
head,IH1234,111L Top,Head 24L Top,East End,"Node: 2 Signal: 1 | OU: 2 Ports: 1,2,3",historical alias
head,IH1234,East End East OS 111a Top,Head 24L Top,East End,"Node: 2 Signal: 1 | OU: 2 Ports: 1,2,3",historical alias of 111L Top
head,IH1233,111RA Bottom,Head 24RA Bottom,East End,"Node: 2 Signal: 6 | OU: 1 Ports: 4,5,6",historical alias
head,IH1233,East End West Main West Bottom,Head 24RA Bottom,East End,"Node: 2 Signal: 6 | OU: 1 Ports: 4,5,6",historical alias of 111RA Bottom
head,IH1232,111RA Top,Head 24RA Top,East End,"Node: 2 Signal: 0 | OU: 1 Ports: 1,2,3",historical alias
head,IH1232,East End West Main West Top,Head 24RA Top,East End,"Node: 2 Signal: 0 | OU: 1 Ports: 1,2,3",historical alias of 111RA Top
head,IH1236,111RB,Head 24RB,East End,"Node: 2 Signal: 2 | OU: 3 Ports: 6,7,8",historical alias; dwarf
head,IH1236,East End West Yard Track 1,Head 24RB,East End,"Node: 2 Signal: 2 | OU: 3 Ports: 6,7,8",historical alias; dwarf
head,IH439,100L Bottom,Head 2L Bottom,Brick,"Node: 4 Signal: 7 | OU: 3 Ports: 4,5,6",historical alias
head,IH439,Brick East Main West Bottom,Head 2L Bottom,Brick,"Node: 4 Signal: 7 | OU: 3 Ports: 4,5,6",historical alias of 100L Bottom
head,IH438,100L Top,Head 2L Top,Brick,"Node: 4 Signal: 6 | OU: 3 Ports: 1,2,3",historical alias
head,IH438,Brick East Main West Top,Head 2L Top,Brick,"Node: 4 Signal: 6 | OU: 3 Ports: 1,2,3",historical alias of 100L Top
head,IH1239,110R,Head 32R,East End,"Node: 12 Signal: 2 | OU: 2 Ports: 7 | OU: 3 Ports: 8,7",historical alias; dwarf
head,IH1239,East End South OS 110,Head 32R,East End,"Node: 12 Signal: 2 | OU: 2 Ports: 7 | OU: 3 Ports: 8,7",historical alias; dwarf
head,IH1238,112L Bottom,Head 34L Bottom,East End,"Node: 12 Signal: 1 | OU: 2 Ports: 4,5,6",historical alias
head,IH1238,East End East Lead Bottom,Head 34L Bottom,East End,"Node: 12 Signal: 1 | OU: 2 Ports: 4,5,6",historical alias of 112L Bottom
head,IH1237,112L Top,Head 34L Top,East End,"Node: 12 Signal: 0 | OU: 2 Ports: 1,2,3",historical alias
head,IH1237,East End East Lead Top,Head 34L Top,East End,"Node: 12 Signal: 0 | OU: 2 Ports: 1,2,3",historical alias of 112L Top
head,IH1241,112R Bottom,Head 34R Bottom,East End,"Node: 12 Signal: 4 | OU: 3 Ports: 4,5,6",historical alias
head,IH1241,East End South OS 112 Bottom,Head 34R Bottom,East End,"Node: 12 Signal: 4 | OU: 3 Ports: 4,5,6",historical alias of 112R Bottom
head,IH1240,112R Top,Head 34R Top,East End,"Node: 12 Signal: 3 | OU: 3 Ports: 1,2,3",historical alias
head,IH1240,East End South OS 112 Top,Head 34R Top,East End,"Node: 12 Signal: 3 | OU: 3 Ports: 1,2,3",historical alias of 112R Top
head,IH136,113RA Bottom,Head 36RA Bottom,Princess,"Node: 1 Signal: 4 | OU: 2 Ports: 4,5,6",historical alias
head,IH136,Princess West OS 113b Bottom,Head 36RA Bottom,Princess,"Node: 1 Signal: 4 | OU: 2 Ports: 4,5,6",historical alias of 113RA Bottom
head,IH135,113RA Top,Head 36RA Top,Princess,"Node: 1 Signal: 3 | OU: 2 Ports: 1,2,3",historical alias
head,IH135,Princess West OS 113b Top,Head 36RA Top,Princess,"Node: 1 Signal: 3 | OU: 2 Ports: 1,2,3",historical alias of 113RA Top
head,IH138,113RB Bottom,Head 36RB Bottom,Princess,"Node: 1 Signal: 1 | OU: 3 Ports: 4,5,6",historical alias
head,IH138,Princess West OS 113a Bottom,Head 36RB Bottom,Princess,"Node: 1 Signal: 1 | OU: 3 Ports: 4,5,6",historical alias of 113RB Bottom
head,IH137,113RB Top,Head 36RB Top,Princess,"Node: 1 Signal: 0 | OU: 3 Ports: 1,2,3",historical alias
head,IH137,Princess West OS 113a Top,Head 36RB Top,Princess,"Node: 1 Signal: 0 | OU: 3 Ports: 1,2,3",historical alias of 113RB Top
head,IH143,114LA,Head 38LA,Princess,"Node: 1 Signal: 11 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",historical alias; dwarf
head,IH143,Princess East K-2,Head 38LA,Princess,"Node: 1 Signal: 11 | OU: 3 Ports: 7,8 | OU: 2 Ports: 7",historical alias; dwarf
head,IH140,114LB Bottom,Head 38LB Bottom,Princess,"Node: 1 Signal: 8 | OU: 4 Ports: 4,5,6",historical alias
head,IH140,Princess South McKeesport Bottom,Head 38LB Bottom,Princess,"Node: 1 Signal: 8 | OU: 4 Ports: 4,5,6",historical alias of 114LB Bottom
head,IH139,114LB Top,Head 38LB Top,Princess,"Node: 1 Signal: 7 | OU: 4 Ports: 1,2,3",historical alias
head,IH139,Princess South McKeesport Top,Head 38LB Top,Princess,"Node: 1 Signal: 7 | OU: 4 Ports: 1,2,3",historical alias of 114LB Top
head,IH142,115LA,Head 40LA,Princess,"Node: 11 Signal: 4 | OU: 3 Ports: 1,2,3",historical alias; dwarf
head,IH142,Princess East K-1,Head 40LA,Princess,"Node: 11 Signal: 4 | OU: 3 Ports: 1,2,3",historical alias; dwarf
head,IH133,115LB Bottom,Head 40LB Bottom,Princess,"Node: 11 Signal: 3 | OU: 2 Ports: 4,5,6",historical alias
head,IH133,Princess North McKees Rocks Bottom,Head 40LB Bottom,Princess,"Node: 11 Signal: 3 | OU: 2 Ports: 4,5,6",historical alias of 115LB Bottom
head,IH132,115LB Top,Head 40LB Top,Princess,"Node: 11 Signal: 0 | OU: 2 Ports: 1,2,3",historical alias
head,IH132,Princess North McKees Rocks Top,Head 40LB Top,Princess,"Node: 11 Signal: 0 | OU: 2 Ports: 1,2,3",historical alias of 115LB Top
head,IH436,101RA,Head 4RA,Brick,"Node: 4 Signal: 4 | OU: 4 Ports: 1,2,3",historical alias; dwarf
head,IH436,Brick West Yard 1,Head 4RA,Brick,"Node: 4 Signal: 4 | OU: 4 Ports: 1,2,3",historical alias; dwarf
head,IH437,101RB,Head 4RB,Brick,"Node: 4 Signal: 5 | OU: 4 Ports: 4,5,6",historical alias; dwarf
head,IH437,Brick West Yard 2,Head 4RB,Brick,"Node: 4 Signal: 5 | OU: 4 Ports: 4,5,6",historical alias; dwarf
head,IH434,102LA,Head 6LA,Plane,"Node: 4 Signal: 2 | OU: 2 Ports: 7 | OU: 3 Ports: 8,7",historical alias; dwarf; was Top of 2-head (IH435 removed)
head,IH434,Plane East OS 102,Head 6LA,Plane,"Node: 4 Signal: 2 | OU: 2 Ports: 7 | OU: 3 Ports: 8,7",historical alias; dwarf; was Top of 2-head
head,IH433,102LB Bottom,Head 6LB Bottom,Plane,"Node: 4 Signal: 1 | OU: 2 Ports: 4,5,6",historical alias
head,IH433,Plane East East Main Ext Bottom,Head 6LB Bottom,Plane,"Node: 4 Signal: 1 | OU: 2 Ports: 4,5,6",historical alias of 102LB Bottom
head,IH432,102LB Top,Head 6LB Top,Plane,"Node: 4 Signal: 0 | OU: 2 Ports: 1,2,3",historical alias
head,IH432,Plane East East Main Ext Top,Head 6LB Top,Plane,"Node: 4 Signal: 0 | OU: 2 Ports: 1,2,3",historical alias of 102LB Top
head,IH1338,117LA Bottom,Head 8LA Bottom,Barn,"Node: 13 Signal: 6 | OU: 2 Ports: 4,5,6",historical alias
head,IH1338,West Yard East OS 117b Bottom,Head 8LA Bottom,Barn,"Node: 13 Signal: 6 | OU: 2 Ports: 4,5,6",historical alias of 117LA Bottom
head,IH1337,117LA Top,Head 8LA Top,Barn,"Node: 13 Signal: 5 | OU: 2 Ports: 1,2,3",historical alias
head,IH1337,West Yard East OS 117b Top,Head 8LA Top,Barn,"Node: 13 Signal: 5 | OU: 2 Ports: 1,2,3",historical alias of 117LA Top
head,IH1334,117LB,Head 8LB,Barn,"Node: 13 Signal: 2 | OU: 2 Ports: 7,8 | OU: 4 Ports: 7",historical alias; dwarf
head,IH1334,West Yard East Yard T6,Head 8LB,Barn,"Node: 13 Signal: 2 | OU: 2 Ports: 7,8 | OU: 4 Ports: 7",historical alias; dwarf
head,IH1333,117RA Bottom,Head 8RA Bottom,Barn,"Node: 13 Signal: 1 | OU: 1 Ports: 4,5,6",historical alias
head,IH1333,West Yard West OS 117 Bottom,Head 8RA Bottom,Barn,"Node: 13 Signal: 1 | OU: 1 Ports: 4,5,6",historical alias of 117RA Bottom
head,IH1332,117RA Top,Head 8RA Top,Barn,"Node: 13 Signal: 0 | OU: 1 Ports: 1,2,3",historical alias
head,IH1332,West Yard West OS 117 Top,Head 8RA Top,Barn,"Node: 13 Signal: 0 | OU: 1 Ports: 1,2,3",historical alias of 117RA Top
head,IH1336,117RB Bottom,Head 8RB Bottom,Barn,"Node: 13 Signal: 4 | OU: 4 Ports: 4,5,6",historical alias
head,IH1336,West Yard West East Main Ext Bottom,Head 8RB Bottom,Barn,"Node: 13 Signal: 4 | OU: 4 Ports: 4,5,6",historical alias of 117RB Bottom
head,IH1335,117RB Top,Head 8RB Top,Barn,"Node: 13 Signal: 3 | OU: 4 Ports: 1,2,3",historical alias
head,IH1335,West Yard West East Main Ext Top,Head 8RB Top,Barn,"Node: 13 Signal: 3 | OU: 4 Ports: 1,2,3",historical alias of 117RB Top
fb,M2S470,Switch 4-1 FB N,FB Switch 1 N,,Node: 4 Sensor: 3 | IN: 1 Ports: 1,historical alias; canvas FB Switch N N/R
fb,M2S471,Switch 4-1 FB R,FB Switch 1 R,,Node: 4 Sensor: 4 | IN: 1 Ports: 2,historical alias; canvas FB Switch N N/R
fb,M2S1369,Switch 13-2 FB N,FB Switch 11 N,,Node: 13 Sensor: 2 | IN: 1 Ports: 3,historical alias; canvas FB Switch N N/R
fb,M2S1370,Switch 13-2 FB R,FB Switch 11 R,,Node: 13 Sensor: 3 | IN: 1 Ports: 4,historical alias; canvas FB Switch N N/R
fb,M2S476,Switch 4-4 FB N,FB Switch 13 N,,Node: 4 Sensor: 9 | IN: 1 Ports: 7,historical alias; canvas FB Switch N N/R
fb,M2S477,Switch 4-4 FB R,FB Switch 13 R,,Node: 4 Sensor: 10 | IN: 1 Ports: 8,historical alias; canvas FB Switch N N/R
fb,M2S367,Switch 3-1 FB N,FB Switch 15 N,,Node: 3 Sensor: 0 | IN: 1 Ports: 1,historical alias; canvas FB Switch N N/R
fb,M2S368,Switch 3-1 FB R,FB Switch 15 R,,Node: 3 Sensor: 1 | IN: 1 Ports: 2,historical alias; canvas FB Switch N N/R
fb,M2S369,Switch 3-2 FB N,FB Switch 17 N,,Node: 3 Sensor: 2 | IN: 1 Ports: 3,historical alias; canvas FB Switch N N/R
fb,M2S370,Switch 3-2 FB R,FB Switch 17 R,,Node: 3 Sensor: 3 | IN: 1 Ports: 4,historical alias; canvas FB Switch N N/R
fb,M2S371,Switch 3-3 FB N,FB Switch 19 N,,Node: 3 Sensor: 4 | IN: 1 Ports: 5,historical alias; canvas FB Switch N N/R
fb,M2S372,Switch 3-3 FB R,FB Switch 19 R,,Node: 3 Sensor: 5 | IN: 1 Ports: 6,historical alias; canvas FB Switch N N/R
fb,M2S373,Switch 3-4 FB N,FB Switch 21 N,,Node: 3 Sensor: 6 | IN: 1 Ports: 7,historical alias; canvas FB Switch N N/R
fb,M2S374,Switch 3-4 FB R,FB Switch 21 R,,Node: 3 Sensor: 7 | IN: 1 Ports: 8,historical alias; canvas FB Switch N N/R
fb,M2S1275,Switch 12-5 FB N,FB Switch 23 N,,Node: 12 Sensor: 8 | IN: 3 Ports: 1,historical alias; canvas FB Switch N N/R
fb,M2S1276,Switch 12-5 FB R,FB Switch 23 R,,Node: 12 Sensor: 9 | IN: 3 Ports: 2,historical alias; canvas FB Switch N N/R
fb,M2S1267,Switch 12-1 FB N,FB Switch 25 N,,Node: 12 Sensor: 0 | IN: 1 Ports: 1,historical alias; canvas FB Switch N N/R
fb,M2S1268,Switch 12-1 FB R,FB Switch 25 R,,Node: 12 Sensor: 1 | IN: 1 Ports: 2,historical alias; canvas FB Switch N N/R
fb,M2S1269,Switch 12-2 FB N,FB Switch 27 N,,Node: 12 Sensor: 2 | IN: 1 Ports: 3,historical alias; canvas FB Switch N N/R
fb,M2S1270,Switch 12-2 FB R,FB Switch 27 R,,Node: 12 Sensor: 3 | IN: 1 Ports: 4,historical alias; canvas FB Switch N N/R
fb,M2S1271,Switch 12-3 FB N,FB Switch 29 N,,Node: 12 Sensor: 4 | IN: 1 Ports: 5,historical alias; canvas FB Switch N N/R
fb,M2S1272,Switch 12-3 FB R,FB Switch 29 R,,Node: 12 Sensor: 5 | IN: 1 Ports: 6,historical alias; canvas FB Switch N N/R
fb,M2S472,Switch 4-2 FB N,FB Switch 3 N,,Node: 4 Sensor: 5 | IN: 1 Ports: 3,historical alias; canvas FB Switch N N/R
fb,M2S473,Switch 4-2 FB R,FB Switch 3 R,,Node: 4 Sensor: 6 | IN: 1 Ports: 4,historical alias; canvas FB Switch N N/R
fb,M2S1273,Switch 12-4 FB N,FB Switch 31 N,,Node: 12 Sensor: 6 | IN: 1 Ports: 7,historical alias; canvas FB Switch N N/R
fb,M2S1274,Switch 12-4 FB R,FB Switch 31 R,,Node: 12 Sensor: 7 | IN: 1 Ports: 8,historical alias; canvas FB Switch N N/R
fb,M2S1277,Switch 12-6 FB N,FB Switch 33 N,,Node: 12 Sensor: 10 | IN: 3 Ports: 3,historical alias; canvas FB Switch N N/R
fb,M2S1278,Switch 12-6 FB R,FB Switch 33 R,,Node: 12 Sensor: 11 | IN: 3 Ports: 4,historical alias; canvas FB Switch N N/R
fb,M2S167,Switch 1-1 FB N,FB Switch 35 N,,Node: 1 Sensor: 0 | IN: 1 Ports: 1,historical alias; canvas FB Switch N N/R
fb,M2S168,Switch 1-1 FB R,FB Switch 35 R,,Node: 1 Sensor: 1 | IN: 1 Ports: 2,historical alias; canvas FB Switch N N/R
fb,M2S169,Switch 1-2 FB N,FB Switch 37 N,,Node: 1 Sensor: 2 | IN: 1 Ports: 3,historical alias; canvas FB Switch N N/R
fb,M2S170,Switch 1-2 FB R,FB Switch 37 R,,Node: 1 Sensor: 3 | IN: 1 Ports: 4,historical alias; canvas FB Switch N N/R
fb,M2S171,Switch 1-3 FB N,FB Switch 39 N,,Node: 1 Sensor: 4 | IN: 1 Ports: 5,historical alias; canvas FB Switch N N/R
fb,M2S172,Switch 1-3 FB R,FB Switch 39 R,,Node: 1 Sensor: 5 | IN: 1 Ports: 6,historical alias; canvas FB Switch N N/R
fb,M2S474,Switch 4-3 FB N,FB Switch 5 N,,Node: 4 Sensor: 7 | IN: 1 Ports: 5,historical alias; canvas FB Switch N N/R
fb,M2S475,Switch 4-3 FB R,FB Switch 5 R,,Node: 4 Sensor: 8 | IN: 1 Ports: 6,historical alias; canvas FB Switch N N/R
fb,M2S1367,Switch 13-1 FB N,FB Switch 7 N,,Node: 13 Sensor: 0 | IN: 1 Ports: 1,historical alias; canvas FB Switch N N/R
fb,M2S1368,Switch 13-1 FB R,FB Switch 7 R,,Node: 13 Sensor: 1 | IN: 1 Ports: 2,historical alias; canvas FB Switch N N/R
fb,M2S1371,Switch 13-3 FB N,FB Switch 9 N,,Node: 13 Sensor: 4 | IN: 1 Ports: 5,historical alias; canvas FB Switch N N/R
fb,M2S1372,Switch 13-3 FB R,FB Switch 9 R,,Node: 13 Sensor: 5 | IN: 1 Ports: 6,historical alias; canvas FB Switch N N/R
