layer,current,proposed,cp,hardware,notes
fb,Switch 3-4 FB N,FB Switch 21 N,,M2S373,canvas FB Switch N N/R
fb,Switch 3-4 FB R,FB Switch 21 R,,M2S374,canvas FB Switch N N/R
fb,Switch 4-1 FB N,FB Switch 1 N,,M2S470,canvas FB Switch N N/R
fb,Switch 4-1 FB R,FB Switch 1 R,,M2S471,canvas FB Switch N N/R
fb,Switch 4-2 FB N,FB Switch 3 N,,M2S472,canvas FB Switch N N/R
fb,Switch 4-2 FB R,FB Switch 3 R,,M2S473,canvas FB Switch N N/R
fb,Switch 4-3 FB N,FB Switch 5 N,,M2S474,canvas FB Switch N N/R
fb,Switch 4-3 FB R,FB Switch 5 R,,M2S475,canvas FB Switch N N/R
fb,Switch 4-4 FB N,FB Switch 13 N,,M2S476,canvas FB Switch N N/R
fb,Switch 4-4 FB R,FB Switch 13 R,,M2S477,canvas FB Switch N N/R
fb,Switch 12-1 FB N,FB Switch 25 N,,M2S1267,canvas FB Switch N N/R
fb,Switch 12-1 FB R,FB Switch 25 R,,M2S1268,canvas FB Switch N N/R
fb,Switch 12-2 FB N,FB Switch 27 N,,M2S1269,canvas FB Switch N N/R
fb,Switch 12-2 FB R,FB Switch 27 R,,M2S1270,canvas FB Switch N N/R
fb,Switch 12-3 FB N,FB Switch 29 N,,M2S1271,canvas FB Switch N N/R
fb,Switch 12-3 FB R,FB Switch 29 R,,M2S1272,canvas FB Switch N N/R
fb,Switch 12-4 FB N,FB Switch 31 N,,M2S1273,canvas FB Switch N N/R
fb,Switch 12-4 FB R,FB Switch 31 R,,M2S1274,canvas FB Switch N N/R
fb,Switch 12-5 FB N,FB Switch 23 N,,M2S1275,canvas FB Switch N N/R
fb,Switch 12-5 FB R,FB Switch 23 R,,M2S1276,canvas FB Switch N N/R
fb,Switch 12-6 FB N,FB Switch 33 N,,M2S1277,canvas FB Switch N N/R
fb,Switch 12-6 FB R,FB Switch 33 R,,M2S1278,canvas FB Switch N N/R
fb,Switch 13-1 FB N,FB Switch 7 N,,M2S1367,canvas FB Switch N N/R
fb,Switch 13-1 FB R,FB Switch 7 R,,M2S1368,canvas FB Switch N N/R
fb,Switch 13-2 FB N,FB Switch 11 N,,M2S1369,canvas FB Switch N N/R
fb,Switch 13-2 FB R,FB Switch 11 R,,M2S1370,canvas FB Switch N N/R
fb,Switch 13-3 FB N,FB Switch 9 N,,M2S1371,canvas FB Switch N N/R
fb,Switch 13-3 FB R,FB Switch 9 R,,M2S1372,canvas FB Switch N N/R
fb_comment,Switch 4-1 FB N,Switch 4-1 FB N,Brick,M2S470,comment: Switch 100
fb_comment,Switch 4-2 FB N,Switch 4-2 FB N,Brick,M2S472,comment: Switch 101
fb_comment,Switch 4-3 FB N,Switch 4-3 FB N,Plane,M2S474,comment: Switch 102
